FID,Facility Number,Facility Name,HMIS,Province,District,Division,LOCATION,Sub Location,Spatial_Re,Facility Type,Agency,Latitude,Longitude,GlobalID,x,y
1077,11,KAARE CCM DISP,3621,EASTERN,SOUTH MERU,MWIMBI,KIERA,MAGUTUNI,DHMT,4,MISS,-0.17,37.77,78a7da03-52ff-4950-a4d8-47c4ec00e8af,4204537.16726195,-18924.3412014345
1078,17,KYUSO HEALTH CENTRE,891,EASTERN,MWINGI,KYUSO,KYUSO,GAI,DSA/DFH(MOH)-UNFPA REPORT,3,MISS,-0.569391,38.2176,76da9099-a060-4b87-b6fe-9caeefbab7c7,4254363.77134102,-63385.3595014989
1079,5,GOBEI DISP,2467,NYANZA,BONDO,BONDO,BONDO TOWNSHIP,NYAWITA(BONDO),GPS,4,MOH,-0.09021,34.2905,22e91078-025d-47df-9ef4-e79a4190fa30,3817200.99904675,-10042.135413415
1080,69,NGILUNI DISP,0,EASTERN,MAKUENI,MTITO ANDEI,MTITO-ANDEI,KATHEKANI,GPS,4,MOH,-2.66435,38.29079,7f45dd32-c1e7-48c5-9962-b95ccad9ad79,4262511.24487218,-296701.035934395
1081,12,KAARE PCEA DISP,1089,EASTERN,SOUTH MERU,MWIMBI,KIERA,MAGUTUNI,DHMT,4,MISS,-0.19,37.77,5f7cb8c6-d14b-445d-9ad7-2320332127fd,4204537.16726195,-21150.7420154393
1082,18,KYUSO SUB-DISTRICT HOSP,4204,EASTERN,MWINGI,KYUSO,KIMANGAO,KIMANGAO,1:50000 MAPS,1,MOH,-0.53231,38.16232,b3b66eb6-b6bb-4789-a265-34b0270eaa89,4248210.02988997,-59257.3306118805
1083,13,KAJIAMPAU DISP,1091,EASTERN,SOUTH MERU,IGAMBANG'OMBE,MUTINO,MUTINO,1:50000 MAPS,4,MISS,-0.311828,37.8508,fca73a0e-cf70-4656-be13-150590900e5d,4213531.78211804,-34712.7055405176
1084,70,NGWATA SUB HEALTH CENTRE,1011,EASTERN,MAKUENI,MTITO ANDEI,NGWATA,MUKANGE,GPS,3,MOH,-2.52758,38.04904,df700982-a1ba-4d18-9a91-f0d396e674e1,4235599.7579729,-281460.224848785
1085,6,GOT AGULU HEALTH CENTRE,1346,NYANZA,BONDO,USIGU,WEST YIMBO,GOT AGULU,GPS,3,MOH,-0.0341,34.0248,4f23ad9b-8747-48b9-bd48-a1f98ed12770,3787623.41034298,-3795.99486014519
1086,19,MASYUNGWA DISP,4580,EASTERN,MWINGI,TSEIKURU,MUSYUNGWA,KATHIANI(MWINGI),DSA/DFH(MOH)-UNFPA REPORT,4,MOH,-0.379401,38.3313,d53e9d21-ee31-4954-bc09-12b3d9d4ea5b,4267020.79744421,-42235.0347825605
1087,14,KAMBANDI DISP,1095,EASTERN,SOUTH MERU,CHUKA,MUIRU,MUIRU,1:50000 MAPS,4,MISS,-0.352703,37.668919,0e29b219-2121-4a35-8847-ce48a79ed640,4193284.88181308,-39262.9663353275
1088,71,NTHONGONI DISP,3523,EASTERN,MAKUENI,MTITO ANDEI,NTHONGONI,MANGELETE,GPS,4,MOH,-2.70281,38.04729,aed8badf-5741-4ac0-9f4c-0b23cd6fe3ac,4235404.94886401,-300987.083994844
1089,7,GOT MATAR DISP,1347,NYANZA,BONDO,USIGU,NORTH YIMBO,NYAMONYE,GPS,4,MOH,-0.0309,34.1315,5e43ead4-5b92-4daf-8c25-1188c5a1038b,3799501.20001063,-3439.77243225334
1090,15,KANJUKI HEALTH CENTRE,1092,EASTERN,SOUTH MERU,IGAMBANG'OMBE,KAJUKI,KAJUKI,1:50000 MAPS,3,MOH,-0.34231,37.83232,be7f42d1-46e9-4f88-8af6-ee32628c2409,4211474.59792818,-38106.0015860328
